method,display,classifier,mean_delta_vs_gmr,wins_vs_gmr,ties_vs_gmr,losses_vs_gmr,n
GBO,GBO,DT,-0.01866188103002632,102,16,132,250
GBO,GBO,GBM,0.003683329342626971,120,10,120,250
GBO,GBO,KNN,-0.023946650778169473,107,7,136,250
GBO,GBO,LR,-0.0009390874844431095,133,6,111,250
GBO,GBO,RF,0.007164264264176014,138,6,106,250
GBO,GBO,SVM,0.008095571145372264,137,11,102,250
GBO,GBO,XGBoost,-0.0003170901239115473,129,13,108,250
GeometricSMOTE,Geometric SMOTE,DT,-0.022468397405902597,97,14,139,250
GeometricSMOTE,Geometric SMOTE,GBM,-0.0006116193187137946,107,6,137,250
GeometricSMOTE,Geometric SMOTE,KNN,-0.013534422053382372,111,10,129,250
GeometricSMOTE,Geometric SMOTE,LR,0.004797155808857669,130,11,109,250
GeometricSMOTE,Geometric SMOTE,RF,-0.00010271243034593169,123,6,121,250
GeometricSMOTE,Geometric SMOTE,SVM,0.007907132996427634,130,17,103,250
GeometricSMOTE,Geometric SMOTE,XGBoost,-0.00473075197198224,121,14,115,250
SimplicialSMOTE,Simplicial SMOTE,DT,-0.021092310362399176,97,13,140,250
SimplicialSMOTE,Simplicial SMOTE,GBM,0.008157749373018738,126,8,116,250
SimplicialSMOTE,Simplicial SMOTE,KNN,-0.05815399301285544,87,7,156,250
SimplicialSMOTE,Simplicial SMOTE,LR,-0.0012017782732145598,124,11,115,250
SimplicialSMOTE,Simplicial SMOTE,RF,-0.004227732174948208,108,9,133,250
SimplicialSMOTE,Simplicial SMOTE,SVM,-0.005291748925091923,104,17,129,250
SimplicialSMOTE,Simplicial SMOTE,XGBoost,-0.0010975850868950082,109,14,127,250
NaNSMOTE,NaNSMOTE,DT,-0.02151006988560363,91,11,148,250
NaNSMOTE,NaNSMOTE,GBM,0.003938163404437009,132,6,112,250
NaNSMOTE,NaNSMOTE,KNN,-0.06430486061313131,80,7,163,250
NaNSMOTE,NaNSMOTE,LR,-0.0018995646834380803,113,13,124,250
NaNSMOTE,NaNSMOTE,RF,-0.003850360120756174,118,11,121,250
NaNSMOTE,NaNSMOTE,SVM,-0.0009967778504418314,111,19,120,250
NaNSMOTE,NaNSMOTE,XGBoost,-0.0035653416021629715,118,17,115,250
SMOTERkNN,SMOTE-RkNN,DT,-0.024783345814222965,98,11,141,250
SMOTERkNN,SMOTE-RkNN,GBM,0.003776815802437403,125,8,117,250
SMOTERkNN,SMOTE-RkNN,KNN,-0.056245837545675546,80,5,165,250
SMOTERkNN,SMOTE-RkNN,LR,-0.0010661163843086218,117,10,123,250
SMOTERkNN,SMOTE-RkNN,RF,-0.007404883184339074,113,9,128,250
SMOTERkNN,SMOTE-RkNN,SVM,-0.005627607826467996,101,17,132,250
SMOTERkNN,SMOTE-RkNN,XGBoost,-0.0011793713759481956,105,14,131,250
MWMOTE,MWMOTE,DT,-0.01901313873289968,96,14,140,250
MWMOTE,MWMOTE,GBM,-0.0006093065875030631,117,6,127,250
MWMOTE,MWMOTE,KNN,-0.06024280705044288,82,7,161,250
MWMOTE,MWMOTE,LR,-0.007878145308417187,103,12,135,250
MWMOTE,MWMOTE,RF,-0.007411594334324001,85,8,157,250
MWMOTE,MWMOTE,SVM,-0.006610739560156819,93,15,142,250
MWMOTE,MWMOTE,XGBoost,-0.004691589148840882,99,11,140,250
LoRAS,LoRAS,DT,-0.022703322003630587,87,13,150,250
LoRAS,LoRAS,GBM,-0.010487481945232573,103,10,137,250
LoRAS,LoRAS,KNN,-0.0546230943660479,89,6,155,250
LoRAS,LoRAS,LR,-0.0040381737548486375,120,3,127,250
LoRAS,LoRAS,RF,-0.006750930912379945,98,7,145,250
LoRAS,LoRAS,SVM,-0.015530767587913696,93,11,146,250
LoRAS,LoRAS,XGBoost,-0.006076251067438828,106,13,131,250
LSR,LSR,DT,-0.0164451683843142,93,29,128,250
LSR,LSR,GBM,-0.007055932361136708,108,7,135,250
LSR,LSR,KNN,-0.09844018475546627,39,5,206,250
LSR,LSR,LR,-0.0421674146804693,55,7,188,250
LSR,LSR,RF,-0.030420481984542676,42,9,199,250
LSR,LSR,SVM,-0.0520700770156962,34,11,205,250
LSR,LSR,XGBoost,-0.0048805622415126,90,12,148,250
SPU,SPU,DT,-0.2783815874934663,20,0,230,250
SPU,SPU,GBM,-0.28242627119459907,8,0,242,250
SPU,SPU,KNN,-0.28331311758369315,9,0,241,250
SPU,SPU,LR,-0.30476867985109185,6,0,244,250
SPU,SPU,RF,-0.22536005819911248,8,0,242,250
SPU,SPU,SVM,-0.22808044408194916,7,1,242,250
SPU,SPU,XGBoost,-0.2592645982850481,12,0,238,250
