dataset,method,mean,std,count
S1,GMR-Full,0.09520313864086458,0.1500892676079332,40
S1,GMR-Symmetric,0.09161083335152613,0.14554541740220844,43
S1,GMR-Uniform,0.10680810186493724,0.17154422054429694,42
S1,None,0.10075818615025851,0.15040508711368494,41
S1,RandomUS,0.07603395804263292,0.12393028553830736,42
S1,SMOTE,0.10624445124166815,0.1224903487704722,40
S1,Tomek,0.12137568771052712,0.18206875496397798,43
S2,GMR-Full,0.7779491831616733,0.29148345198119957,81
S2,GMR-Symmetric,0.7802431653265519,0.2903316562648474,84
S2,GMR-Uniform,0.7900816399017776,0.2876686758554343,85
S2,None,0.8106877048613526,0.2903202655104204,82
S2,RandomUS,0.6173230266997108,0.36108834126617934,82
S2,SMOTE,0.7686615117485129,0.3018667590783117,80
S2,Tomek,0.8075173974828864,0.2930929583722142,80
S3,GMR-Full,0.9141450898083879,0.14181893997204204,84
S3,GMR-Symmetric,0.9133192459876247,0.13942018948078352,84
S3,GMR-Uniform,0.9125013248680466,0.14369118632525624,80
S3,None,0.9143450968277156,0.1434164576037177,81
S3,RandomUS,0.7743201088697733,0.27579617214581753,84
S3,SMOTE,0.9196617705519355,0.12669101420270446,82
S3,Tomek,0.9164090703981321,0.142271741486108,83
S4,GMR-Full,0.6181520355591446,0.29042845455162136,82
S4,GMR-Symmetric,0.6111952108349693,0.2885460771963513,81
S4,GMR-Uniform,0.6254652650806095,0.2909034488684858,84
S4,None,0.613501473833779,0.2779785914583804,83
S4,RandomUS,0.5086821487504211,0.31138845239905405,80
S4,SMOTE,0.5327697928969977,0.29775966148646515,80
S4,Tomek,0.6194457506270321,0.292193219963407,84
S5,GMR-Full,0.847957521140912,0.26859875831109387,85
S5,GMR-Symmetric,0.8436666100006437,0.2702824262096429,85
S5,GMR-Uniform,0.8420809717884103,0.2737875952934363,81
S5,None,0.8441453606856353,0.26812397760765166,82
S5,RandomUS,0.7665961776644173,0.3651915405624405,83
S5,SMOTE,0.8467069353770785,0.2633319051477915,82
S5,Tomek,0.8425651801402102,0.2673045475684482,84
