dataset,variant,ir,seed,classifier,auprc,auroc,f1,balanced_acc
S1,GMR-Bidirectional,5,42,KNN,0.46291711278891035,0.8078571428571428,0.5054945054945055,0.7088095238095238
S1,GMR-Bidirectional,5,42,RF,0.5387934728961097,0.8299404761904763,0.5106382978723404,0.7157142857142857
S1,GMR-Bidirectional,5,42,LR,0.20566784680420896,0.6302380952380953,0.3776223776223776,0.6364285714285715
S1,GMR-Bidirectional,5,42,DT,0.3512691853600945,0.7389285714285714,0.5294117647058824,0.7389285714285714
S1,GMR-Bidirectional,5,42,XGB,0.5007179477088928,0.8295833333333332,0.5154639175257731,0.7226190476190476
S1,GMR-Bidirectional,5,0,KNN,0.4921288967643216,0.834702380952381,0.6206896551724138,0.7764285714285715
S1,GMR-Bidirectional,5,0,RF,0.5841896819000092,0.8479761904761904,0.5333333333333333,0.7257142857142858
S1,GMR-Bidirectional,5,0,LR,0.20081920028072534,0.6209523809523809,0.3111111111111111,0.5700000000000001
S1,GMR-Bidirectional,5,0,DT,0.4035302520151005,0.7683333333333333,0.5833333333333334,0.7683333333333333
S1,GMR-Bidirectional,5,0,XGB,0.5644267625875957,0.8510714285714286,0.5393258426966292,0.7282142857142857
S1,GMR-Bidirectional,5,1,KNN,0.45158553779638577,0.8108333333333333,0.5813953488372093,0.7501190476190476
S1,GMR-Bidirectional,5,1,RF,0.49583832408853656,0.8454761904761905,0.5348837209302325,0.7213095238095238
S1,GMR-Bidirectional,5,1,LR,0.22133778791012063,0.6688095238095239,0.38848920863309355,0.6464285714285715
S1,GMR-Bidirectional,5,1,DT,0.34649618595459986,0.7138095238095239,0.5168539325842697,0.7138095238095239
S1,GMR-Bidirectional,5,1,XGB,0.5890653007085913,0.8493452380952381,0.5494505494505495,0.7376190476190476
S1,GMR-Bidirectional,5,2,KNN,0.4011959581225193,0.7517857142857143,0.5176470588235295,0.7094047619047619
S1,GMR-Bidirectional,5,2,RF,0.3912658010898369,0.756904761904762,0.5,0.6975
S1,GMR-Bidirectional,5,2,LR,0.21683088675860052,0.6377380952380952,0.39473684210526316,0.6571428571428571
S1,GMR-Bidirectional,5,2,DT,0.27410878263150995,0.6536904761904762,0.4222222222222222,0.6536904761904762
S1,GMR-Bidirectional,5,2,XGB,0.4223646501166891,0.7942261904761905,0.5238095238095238,0.7119047619047619
S1,GMR-Bidirectional,5,3,KNN,0.5407179397138511,0.8006547619047619,0.5866666666666667,0.7344047619047619
S1,GMR-Bidirectional,5,3,RF,0.6207785229361793,0.838452380952381,0.5647058823529412,0.7382142857142857
S1,GMR-Bidirectional,5,3,LR,0.1848263272133124,0.5766071428571429,0.3375,0.5939285714285715
S1,GMR-Bidirectional,5,3,DT,0.366173478359165,0.7282142857142857,0.5393258426966292,0.7282142857142857
