dataset,method,mean,std,n
S1,BorderlineSMOTE,0.2961981335144019,0.15208378980003007,100
S1,GMR,0.3298318153561033,0.18239614886210295,100
S1,None,0.30233455824819594,0.1696260643713904,100
S1,RandomOS,0.27798919674063716,0.15259638121240252,100
S1,SMOTE,0.28000005157974317,0.15811859443334178,100
S1,SMOTETomek,0.28339295311578305,0.1609949740681065,100
S1,TomekLinks,0.3254804296477446,0.1757098297763102,100
S2,BorderlineSMOTE,0.9264477180329611,0.14215000928691018,100
S2,GMR,0.9267398847313068,0.14236032826063336,100
S2,None,0.9264477180329611,0.14215000928691018,100
S2,RandomOS,0.9264477180329611,0.14215000928691018,100
S2,SMOTE,0.9264477180329611,0.14215000928691018,100
S2,SMOTETomek,0.926582145301687,0.14221716682507207,100
S2,TomekLinks,0.9264362157434245,0.14214950433472334,100
S3,BorderlineSMOTE,0.9923766061031882,0.013624029879655634,100
S3,GMR,0.9924155006881299,0.013640731982854992,100
S3,None,0.9923766061031882,0.013624029879655634,100
S3,RandomOS,0.9923766061031882,0.013624029879655634,100
S3,SMOTE,0.9923766061031882,0.013624029879655634,100
S3,SMOTETomek,0.9923756374930656,0.01362462030597496,100
S3,TomekLinks,0.9923761583279059,0.013624914445526286,100
S4,BorderlineSMOTE,0.42572305536540367,0.24925035511524327,100
S4,GMR,0.4588213025653405,0.26844568314150524,100
S4,None,0.4322843281332833,0.2606005666296621,100
S4,RandomOS,0.41339650576556025,0.2573090433899496,100
S4,SMOTE,0.4237085722259192,0.25659028467681805,100
S4,SMOTETomek,0.4401735302462009,0.2567007617350617,100
S4,TomekLinks,0.44759851149673674,0.2621912273199806,100
S5,BorderlineSMOTE,0.3871367677509,0.23351109296119904,100
S5,GMR,0.44992895880378647,0.2414369634863502,100
S5,None,0.4299286573542811,0.2368992741347963,100
S5,RandomOS,0.40448862762112087,0.2367445308640613,100
S5,SMOTE,0.3847112874879774,0.23736421768055252,100
S5,SMOTETomek,0.3847112874879774,0.23736421768055252,100
S5,TomekLinks,0.43596061347496723,0.23769496397201512,100
