dataset,method,ir,seed,classifier,auprc,auroc,f1,balanced_acc,n_removed_maj,n_removed_min,ir_before,ir_after,n_train_before_maj,n_train_before_min,n_train_after_maj,n_train_after_min
S1,None,50,0,KNN,0.13495024875621892,0.7277918781725887,0.0,0.49746192893401014,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,0,RF,0.13992537313432835,0.5742385786802031,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,0,LR,0.032619838236233725,0.6434010152284263,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,0,DT,0.01990049751243781,0.4949238578680203,0.0,0.4949238578680203,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,42,KNN,0.29328358208955224,0.7252538071065989,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,42,RF,0.08104420332547788,0.7855329949238579,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,42,LR,0.028730006373583396,0.5926395939086294,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,42,DT,0.01990049751243781,0.49238578680203043,0.0,0.49238578680203043,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,123,KNN,0.2857142857142857,0.9670050761421319,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,123,RF,0.35833333333333334,0.9746192893401016,0.0,0.49746192893401014,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,123,LR,0.0276454448227876,0.5685279187817259,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,123,DT,0.20995024875621893,0.7423857868020304,0.4444444444444445,0.7423857868020305,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,456,KNN,0.09825870646766169,0.5913705583756345,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,456,RF,0.07661691542288557,0.6751269035532994,0.0,0.49746192893401014,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,456,LR,0.029777917892671993,0.6040609137055837,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,456,DT,0.01990049751243781,0.49238578680203043,0.0,0.49238578680203043,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,789,KNN,0.0724502487562189,0.7131979695431472,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,789,RF,0.09328358208955223,0.677030456852792,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,789,LR,0.027110080269533106,0.5647208121827412,0.0,0.5,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,789,DT,0.01990049751243781,0.4949238578680203,0.0,0.4949238578680203,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,50,789,XGB,0.0830983709273183,0.8248730964467006,0.0,0.49746192893401014,0,0,48.999999999693756,48.999999999693756,784,16,784,16
S1,None,100,0,KNN,0.009950248756218905,0.4824120603015075,0.0,0.49748743718592964,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,0,RF,0.009950248756218905,0.4396984924623116,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,0,LR,0.016418644693149673,0.4547738693467337,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,0,DT,0.009950248756218905,0.49246231155778897,0.0,0.49246231155778897,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,42,KNN,0.046641791044776115,0.7223618090452261,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,42,RF,0.13247863247863248,0.9610552763819096,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,42,LR,0.01886178861788618,0.6130653266331658,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,42,DT,0.009950248756218905,0.49748743718592964,0.0,0.49748743718592964,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,123,KNN,0.625,0.992462311557789,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,123,RF,0.6666666666666666,0.9912060301507538,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,123,LR,0.01608643457382953,0.5477386934673367,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,123,DT,0.009950248756218905,0.49748743718592964,0.0,0.49748743718592964,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,456,KNN,0.06747512437810946,0.7324120603015075,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,456,RF,0.07125000000000001,0.9183417085427137,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,456,LR,0.016750305167503053,0.5703517587939698,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,456,DT,0.009950248756218905,0.49748743718592964,0.0,0.49748743718592964,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,789,KNN,0.060530679933665,0.7286432160804021,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,789,RF,0.15555555555555556,0.9585427135678393,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,789,LR,0.015323891339679591,0.5276381909547738,0.0,0.5,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,None,100,789,DT,0.009950248756218905,0.49748743718592964,0.0,0.49748743718592964,0,0,87.88888888791234,87.88888888791234,791,9,791,9
S1,SMOTE,50,0,KNN,0.1419483044547378,0.8197969543147209,0.17391304347826086,0.7068527918781726,0,-768,48.999999999693756,0.9999999999998724,784,16,784,784
S1,SMOTE,50,0,RF,0.21510524499654934,0.9530456852791879,0.3333333333333333,0.8470812182741116,0,-768,48.999999999693756,0.9999999999998724,784,16,784,784
