dataset,method,mean,std,n
S1,BorderlineSMOTE,0.235201739979016,0.1294583846407679,100
S1,GMR,0.2653726132148646,0.1710917888598746,100
S1,None,0.23879510120122405,0.1571649087521799,100
S1,RandomOS,0.22913378569854015,0.14879656852269194,100
S1,SMOTE,0.23769083103530178,0.1445126189345771,100
S1,SMOTETomek,0.2407870718063509,0.14643731125788642,100
S1,TomekLinks,0.2660109565858359,0.16991569375947196,100
S2,BorderlineSMOTE,0.9285431090278352,0.14270240305385246,100
S2,GMR,0.9285431090278352,0.14270240305385246,100
S2,None,0.9285431090278352,0.14270240305385246,100
S2,RandomOS,0.9285431090278352,0.14270240305385246,100
S2,SMOTE,0.9285431090278352,0.14270240305385246,100
S2,SMOTETomek,0.9285431090278352,0.14270240305385246,100
S2,TomekLinks,0.9285431090278352,0.14270240305385246,100
S3,BorderlineSMOTE,0.9928425218154737,0.012976067664662017,100
S3,GMR,0.9928425218154737,0.012976067664662017,100
S3,None,0.9928425218154737,0.012976067664662017,100
S3,RandomOS,0.9928425218154737,0.012976067664662017,100
S3,SMOTE,0.9928425218154737,0.012976067664662017,100
S3,SMOTETomek,0.9928425218154737,0.012976067664662017,100
S3,TomekLinks,0.9928425218154737,0.012976067664662017,100
S4,BorderlineSMOTE,0.6114427969323225,0.2401482261957681,100
S4,GMR,0.650175381210195,0.26116643867998873,100
S4,None,0.6602905815875207,0.26175892315764715,100
S4,RandomOS,0.6272632702963881,0.25190001824462666,100
S4,SMOTE,0.6067227643354496,0.26486585625178904,100
S4,SMOTETomek,0.6033961592302339,0.26509811513274145,100
S4,TomekLinks,0.6629464273812653,0.2614380776791538,100
S5,BorderlineSMOTE,0.9191679335252367,0.13512619836804454,100
S5,GMR,0.9288924792190224,0.14009181103826693,100
S5,None,0.9197861890399368,0.16254812548797887,100
S5,RandomOS,0.9223687901451249,0.15322847044396476,100
S5,SMOTE,0.9190843419118245,0.1474513529226387,100
S5,SMOTETomek,0.9190843419118245,0.1474513529226387,100
S5,TomekLinks,0.9210209501372413,0.16056941635475838,100
